Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IN-1294,,,,,,,,,,,,,,,,,,,7537.491054575082,6534.754747627426,,,,
IN-1295,,,,,,,,,,,,,,,,,,,10654.163768500375,38974.902034492945,,,,
IN-1296,,,,,,,,,,,,,,,,,,,7422.05873183711,4929.242373430014,,,,
IN-1297,,,,,,,,,,,,,,,,,,,9615.27286385861,5149.175575374865,,,,
IN-1298,,,,,,,,,,,,,,,,,,,10192.434477548479,11373.285190414152,,,,
IN-1299,,,,,,,,,,,,,,,,,,,7191.1940863611635,10383.58578166232,,,,
IN-1300,,,,,,,,,,,,,,,,,,,6152.3031817194,14122.450214724788,,,,
IN-1301,10499.37174600693,8632.41445351773,,,,,,,,,,,,,,,,,,,,,,
IN-1302,9264.38832994822,6096.27783108009,,,,,,,,,,,,,,,,,,,,,5862.543538288156,
IN-1303,8366.218572814612,5814.484873031465,,,,,,,,,,,,,,,,,,,,,,
IN-1304,8478.489792456316,6638.187365788988,,,,,,,,,,,,,,,,,,,,,,
IN-1305,8253.947353172913,10886.758117906742,,,,,,,,,,,,,,,,,,,,,,
IN-1306,9264.38832994822,6226.336119410226,,,,,,,,,,,,,,,,,,,,,,
IN-1307,10948.456624573731,10149.761150702641,,,,,,,,,,,,,,,,,,,,,,
IN-1308,10050.286867440125,6659.863747177345,,,,,,,,,,,,,,,,,,,,,,
IN-1309,6682.150278189102,8155.534062973902,,,,,,,,,,,,,,,,,,,,,,
IN-1310,7917.133694247809,10539.936015693049,,,,,,,,,,,,,,,,,,,,,,
IN-1311,7804.862474606108,8220.563207138968,,,,,,,,,,,,,,,,,,,,,,
IN-1312,8478.489792456316,11146.874694567014,,,,,,,,,,,,,,,,,,,,,,
IN-1313,7917.133694247809,10518.259634304692,,,,,,,,,,,,,,,,,,,,,,
IN-1314,10836.18540493203,12317.39928953823,,,,,,,,,,,,,,,,,,,,,7001.2414244285355,
IN-1315,8253.94735317291,8610.738072129374,,,,,,,,,,,,,,,,,,,,,,
IN-1316,9376.65954958992,7071.7149935561065,,,,,,,,,,,,,,,,,,,,,,
IN-1317,7917.133694247809,10886.758117906742,,,,,,,,,,,,,,,,,,,,,,
IN-1318,9264.38832994822,13054.39625674233,,,,,,,,,,,,,,,,,,,,,,
IN-1319,10387.100526365228,12143.988238431382,,,,,,,,,,,,,,,,,,,,,,
IN-1320,10050.286867440125,10409.877727362913,,,,,,,,,,,,,,,,,,,,,,
IN-1321,11734.355162065636,15763.943930286814,,,,,,,,,,,,,,,,,,,,,7570.590367498724,
IN-1322,9601.201988873321,10496.583252916336,,,,,,,,,,,,,,,,,,,,,,
